Site_Name,State,Loc_Name,Start_Date,Year,Target_Species,Plot_Name,Spp_Name,Species,Damage,No Damage,Sum,Subsampled
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Ascophyllum,A1,Common periwinkle (Littorina littorea),LITLIT,0,3,3,No
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Ascophyllum,A1,Smooth periwinkle (Littorina obtusata),LITOBT,0,6,6,No
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Ascophyllum,A1,Rough periwinkle (Littorina saxatilis),LITSAX,0,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Ascophyllum,A1,Dogwhelk (Nucella lapillus),NUCLAP,0,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Ascophyllum,A1,Limpet (Tectura testudinalis),TECTES,0,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Ascophyllum,A2,Common periwinkle (Littorina littorea),LITLIT,0,8,8,No
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Ascophyllum,A2,Smooth periwinkle (Littorina obtusata),LITOBT,0,25,25,No
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Ascophyllum,A2,Rough periwinkle (Littorina saxatilis),LITSAX,0,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Ascophyllum,A2,Dogwhelk (Nucella lapillus),NUCLAP,0,1,1,No
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Ascophyllum,A2,Limpet (Tectura testudinalis),TECTES,0,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Ascophyllum,A3,Common periwinkle (Littorina littorea),LITLIT,0,16,16,No
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Ascophyllum,A3,Smooth periwinkle (Littorina obtusata),LITOBT,0,34,34,No
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Ascophyllum,A3,Rough periwinkle (Littorina saxatilis),LITSAX,0,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Ascophyllum,A3,Dogwhelk (Nucella lapillus),NUCLAP,0,2,2,No
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Ascophyllum,A3,Limpet (Tectura testudinalis),TECTES,0,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Ascophyllum,A4,Common periwinkle (Littorina littorea),LITLIT,0,20,20,Yes
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Ascophyllum,A4,Smooth periwinkle (Littorina obtusata),LITOBT,1,6,7,Yes
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Ascophyllum,A4,Rough periwinkle (Littorina saxatilis),LITSAX,0,0,0,Yes
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Ascophyllum,A4,Dogwhelk (Nucella lapillus),NUCLAP,0,0,0,Yes
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Ascophyllum,A4,Limpet (Tectura testudinalis),TECTES,0,0,0,Yes
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Ascophyllum,A5,Common periwinkle (Littorina littorea),LITLIT,1,22,23,No
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Ascophyllum,A5,Smooth periwinkle (Littorina obtusata),LITOBT,0,23,23,No
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Ascophyllum,A5,Rough periwinkle (Littorina saxatilis),LITSAX,0,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Ascophyllum,A5,Dogwhelk (Nucella lapillus),NUCLAP,0,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Ascophyllum,A5,Limpet (Tectura testudinalis),TECTES,0,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Barnacle,B1,Common periwinkle (Littorina littorea),LITLIT,0,1,1,No
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Barnacle,B1,Smooth periwinkle (Littorina obtusata),LITOBT,0,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Barnacle,B1,Rough periwinkle (Littorina saxatilis),LITSAX,0,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Barnacle,B1,Dogwhelk (Nucella lapillus),NUCLAP,0,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Barnacle,B1,Limpet (Tectura testudinalis),TECTES,0,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Barnacle,B2,Common periwinkle (Littorina littorea),LITLIT,0,1,1,No
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Barnacle,B2,Smooth periwinkle (Littorina obtusata),LITOBT,0,1,1,No
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Barnacle,B2,Rough periwinkle (Littorina saxatilis),LITSAX,0,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Barnacle,B2,Dogwhelk (Nucella lapillus),NUCLAP,0,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Barnacle,B2,Limpet (Tectura testudinalis),TECTES,0,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Barnacle,B3,Common periwinkle (Littorina littorea),LITLIT,0,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Barnacle,B3,Smooth periwinkle (Littorina obtusata),LITOBT,0,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Barnacle,B3,Rough periwinkle (Littorina saxatilis),LITSAX,0,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Barnacle,B3,Dogwhelk (Nucella lapillus),NUCLAP,0,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Barnacle,B3,Limpet (Tectura testudinalis),TECTES,0,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Barnacle,B4,Common periwinkle (Littorina littorea),LITLIT,0,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Barnacle,B4,Smooth periwinkle (Littorina obtusata),LITOBT,0,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Barnacle,B4,Rough periwinkle (Littorina saxatilis),LITSAX,0,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Barnacle,B4,Dogwhelk (Nucella lapillus),NUCLAP,0,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Barnacle,B4,Limpet (Tectura testudinalis),TECTES,0,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Barnacle,B5,Common periwinkle (Littorina littorea),LITLIT,0,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Barnacle,B5,Smooth periwinkle (Littorina obtusata),LITOBT,0,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Barnacle,B5,Rough periwinkle (Littorina saxatilis),LITSAX,0,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Barnacle,B5,Dogwhelk (Nucella lapillus),NUCLAP,0,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Barnacle,B5,Limpet (Tectura testudinalis),TECTES,0,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Fucus,F1,Common periwinkle (Littorina littorea),LITLIT,2,30,32,No
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Fucus,F1,Smooth periwinkle (Littorina obtusata),LITOBT,1,40,41,No
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Fucus,F1,Rough periwinkle (Littorina saxatilis),LITSAX,0,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Fucus,F1,Dogwhelk (Nucella lapillus),NUCLAP,0,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Fucus,F1,Limpet (Tectura testudinalis),TECTES,0,11,11,No
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Fucus,F2,Common periwinkle (Littorina littorea),LITLIT,0,5,5,No
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Fucus,F2,Smooth periwinkle (Littorina obtusata),LITOBT,1,80,81,No
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Fucus,F2,Rough periwinkle (Littorina saxatilis),LITSAX,0,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Fucus,F2,Dogwhelk (Nucella lapillus),NUCLAP,0,6,6,No
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Fucus,F2,Limpet (Tectura testudinalis),TECTES,0,3,3,No
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Fucus,F3,Common periwinkle (Littorina littorea),LITLIT,0,3,3,Yes
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Fucus,F3,Smooth periwinkle (Littorina obtusata),LITOBT,0,17,17,Yes
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Fucus,F3,Rough periwinkle (Littorina saxatilis),LITSAX,0,0,0,Yes
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Fucus,F3,Dogwhelk (Nucella lapillus),NUCLAP,0,1,1,Yes
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Fucus,F3,Limpet (Tectura testudinalis),TECTES,0,13,13,Yes
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Fucus,F4,Common periwinkle (Littorina littorea),LITLIT,1,22,23,Yes
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Fucus,F4,Smooth periwinkle (Littorina obtusata),LITOBT,2,32,34,Yes
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Fucus,F4,Rough periwinkle (Littorina saxatilis),LITSAX,0,0,0,Yes
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Fucus,F4,Dogwhelk (Nucella lapillus),NUCLAP,0,1,1,Yes
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Fucus,F4,Limpet (Tectura testudinalis),TECTES,0,2,2,Yes
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Fucus,F5,Common periwinkle (Littorina littorea),LITLIT,0,5,5,Yes
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Fucus,F5,Smooth periwinkle (Littorina obtusata),LITOBT,0,45,45,Yes
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Fucus,F5,Rough periwinkle (Littorina saxatilis),LITSAX,0,0,0,Yes
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Fucus,F5,Dogwhelk (Nucella lapillus),NUCLAP,1,0,1,Yes
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Fucus,F5,Limpet (Tectura testudinalis),TECTES,0,5,5,Yes
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Red Algae,R1,Common periwinkle (Littorina littorea),LITLIT,0,2,2,No
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Red Algae,R1,Smooth periwinkle (Littorina obtusata),LITOBT,0,1,1,No
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Red Algae,R1,Rough periwinkle (Littorina saxatilis),LITSAX,0,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Red Algae,R1,Dogwhelk (Nucella lapillus),NUCLAP,0,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Red Algae,R1,Limpet (Tectura testudinalis),TECTES,0,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Red Algae,R2,Common periwinkle (Littorina littorea),LITLIT,0,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Red Algae,R2,Smooth periwinkle (Littorina obtusata),LITOBT,0,1,1,No
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Red Algae,R2,Rough periwinkle (Littorina saxatilis),LITSAX,0,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Red Algae,R2,Dogwhelk (Nucella lapillus),NUCLAP,0,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Red Algae,R2,Limpet (Tectura testudinalis),TECTES,0,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Red Algae,R3,Common periwinkle (Littorina littorea),LITLIT,0,1,1,No
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Red Algae,R3,Smooth periwinkle (Littorina obtusata),LITOBT,0,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Red Algae,R3,Rough periwinkle (Littorina saxatilis),LITSAX,0,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Red Algae,R3,Dogwhelk (Nucella lapillus),NUCLAP,0,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Red Algae,R3,Limpet (Tectura testudinalis),TECTES,0,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Red Algae,R4,Common periwinkle (Littorina littorea),LITLIT,0,1,1,No
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Red Algae,R4,Smooth periwinkle (Littorina obtusata),LITOBT,0,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Red Algae,R4,Rough periwinkle (Littorina saxatilis),LITSAX,0,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Red Algae,R4,Dogwhelk (Nucella lapillus),NUCLAP,0,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Red Algae,R4,Limpet (Tectura testudinalis),TECTES,0,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Red Algae,R5,Common periwinkle (Littorina littorea),LITLIT,0,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Red Algae,R5,Smooth periwinkle (Littorina obtusata),LITOBT,0,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Red Algae,R5,Rough periwinkle (Littorina saxatilis),LITSAX,0,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Red Algae,R5,Dogwhelk (Nucella lapillus),NUCLAP,0,2,2,No
Acadia NP,ME,Bass Harbor,6/21/2013,2013,Red Algae,R5,Limpet (Tectura testudinalis),TECTES,0,0,0,No
Acadia NP,ME,Bass Harbor,6/24/2013,2013,Ascophyllum,A1,Common periwinkle (Littorina littorea),LITLIT,0,2,2,No
Acadia NP,ME,Bass Harbor,6/24/2013,2013,Ascophyllum,A1,Smooth periwinkle (Littorina obtusata),LITOBT,1,2,3,No
Acadia NP,ME,Bass Harbor,6/24/2013,2013,Ascophyllum,A1,Rough periwinkle (Littorina saxatilis),LITSAX,0,0,0,No
Acadia NP,ME,Bass Harbor,6/24/2013,2013,Ascophyllum,A1,Dogwhelk (Nucella lapillus),NUCLAP,0,1,1,No
Acadia NP,ME,Bass Harbor,6/24/2013,2013,Ascophyllum,A1,Limpet (Tectura testudinalis),TECTES,0,0,0,No
Acadia NP,ME,Bass Harbor,6/24/2013,2013,Ascophyllum,A2,Common periwinkle (Littorina littorea),LITLIT,0,3,3,No
Acadia NP,ME,Bass Harbor,6/24/2013,2013,Ascophyllum,A2,Smooth periwinkle (Littorina obtusata),LITOBT,4,19,23,No
Acadia NP,ME,Bass Harbor,6/24/2013,2013,Ascophyllum,A2,Rough periwinkle (Littorina saxatilis),LITSAX,0,0,0,No
Acadia NP,ME,Bass Harbor,6/24/2013,2013,Ascophyllum,A2,Dogwhelk (Nucella lapillus),NUCLAP,0,3,3,No
Acadia NP,ME,Bass Harbor,6/24/2013,2013,Ascophyllum,A2,Limpet (Tectura testudinalis),TECTES,0,0,0,No
Acadia NP,ME,Bass Harbor,6/24/2013,2013,Ascophyllum,A3,Common periwinkle (Littorina littorea),LITLIT,2,14,16,No
Acadia NP,ME,Bass Harbor,6/24/2013,2013,Ascophyllum,A3,Smooth periwinkle (Littorina obtusata),LITOBT,5,23,28,No
Acadia NP,ME,Bass Harbor,6/24/2013,2013,Ascophyllum,A3,Rough periwinkle (Littorina saxatilis),LITSAX,0,0,0,No
Acadia NP,ME,Bass Harbor,6/24/2013,2013,Ascophyllum,A3,Dogwhelk (Nucella lapillus),NUCLAP,0,4,4,No
Acadia NP,ME,Bass Harbor,6/24/2013,2013,Ascophyllum,A3,Limpet (Tectura testudinalis),TECTES,0,0,0,No
Acadia NP,ME,Bass Harbor,6/24/2013,2013,Ascophyllum,A4,Common periwinkle (Littorina littorea),LITLIT,1,29,30,Yes
Acadia NP,ME,Bass Harbor,6/24/2013,2013,Ascophyllum,A4,Smooth periwinkle (Littorina obtusata),LITOBT,5,15,20,Yes
Acadia NP,ME,Bass Harbor,6/24/2013,2013,Ascophyllum,A4,Rough periwinkle (Littorina saxatilis),LITSAX,0,0,0,Yes
Acadia NP,ME,Bass Harbor,6/24/2013,2013,Ascophyllum,A4,Dogwhelk (Nucella lapillus),NUCLAP,0,1,1,Yes
Acadia NP,ME,Bass Harbor,6/24/2013,2013,Ascophyllum,A4,Limpet (Tectura testudinalis),TECTES,0,0,0,Yes
Acadia NP,ME,Bass Harbor,6/24/2013,2013,Ascophyllum,A5,Common periwinkle (Littorina littorea),LITLIT,5,17,22,No
Acadia NP,ME,Bass Harbor,6/24/2013,2013,Ascophyllum,A5,Smooth periwinkle (Littorina obtusata),LITOBT,4,23,27,No
Acadia NP,ME,Bass Harbor,6/24/2013,2013,Ascophyllum,A5,Rough periwinkle (Littorina saxatilis),LITSAX,0,0,0,No
Acadia NP,ME,Bass Harbor,6/24/2013,2013,Ascophyllum,A5,Dogwhelk (Nucella lapillus),NUCLAP,0,0,0,No
Acadia NP,ME,Bass Harbor,6/24/2013,2013,Ascophyllum,A5,Limpet (Tectura testudinalis),TECTES,0,0,0,No
Acadia NP,ME,Bass Harbor,6/24/2013,2013,Barnacle,B1,Common periwinkle (Littorina littorea),LITLIT,0,0,0,No
Acadia NP,ME,Bass Harbor,6/24/2013,2013,Barnacle,B1,Smooth periwinkle (Littorina obtusata),LITOBT,0,0,0,No
Acadia NP,ME,Bass Harbor,6/24/2013,2013,Barnacle,B1,Rough periwinkle (Littorina saxatilis),LITSAX,0,1,1,No
Acadia NP,ME,Bass Harbor,6/24/2013,2013,Barnacle,B1,Dogwhelk (Nucella lapillus),NUCLAP,0,1,1,No
Acadia NP,ME,Bass Harbor,6/24/2013,2013,Barnacle,B1,Limpet (Tectura testudinalis),TECTES,0,0,0,No
Acadia NP,ME,Bass Harbor,6/24/2013,2013,Barnacle,B2,Common periwinkle (Littorina littorea),LITLIT,0,0,0,No
Acadia NP,ME,Bass Harbor,6/24/2013,2013,Barnacle,B2,Smooth periwinkle (Littorina obtusata),LITOBT,0,0,0,No
Acadia NP,ME,Bass Harbor,6/24/2013,2013,Barnacle,B2,Rough periwinkle (Littorina saxatilis),LITSAX,0,0,0,No
Acadia NP,ME,Bass Harbor,6/24/2013,2013,Barnacle,B2,Dogwhelk (Nucella lapillus),NUCLAP,0,0,0,No
Acadia NP,ME,Bass Harbor,6/24/2013,2013,Barnacle,B2,Limpet (Tectura testudinalis),TECTES,0,0,0,No
Acadia NP,ME,Bass Harbor,6/24/2013,2013,Barnacle,B3,Common periwinkle (Littorina littorea),LITLIT,0,0,0,No
Acadia NP,ME,Bass Harbor,6/24/2013,2013,Barnacle,B3,Smooth periwinkle (Littorina obtusata),LITOBT,0,0,0,No
Acadia NP,ME,Bass Harbor,6/24/2013,2013,Barnacle,B3,Rough periwinkle (Littorina saxatilis),LITSAX,0,0,0,No
Acadia NP,ME,Bass Harbor,6/24/2013,2013,Barnacle,B3,Dogwhelk (Nucella lapillus),NUCLAP,0,0,0,No
Acadia NP,ME,Bass Harbor,6/24/2013,2013,Barnacle,B3,Limpet (Tectura testudinalis),TECTES,0,0,0,No
Acadia NP,ME,Bass Harbor,6/24/2013,2013,Barnacle,B4,Common periwinkle (Littorina littorea),LITLIT,0,0,0,No
Acadia NP,ME,Bass Harbor,6/24/2013,2013,Barnacle,B4,Smooth periwinkle (Littorina obtusata),LITOBT,0,1,1,No
Acadia NP,ME,Bass Harbor,6/24/2013,2013,Barnacle,B4,Rough periwinkle (Littorina saxatilis),LITSAX,0,1,1,No
Acadia NP,ME,Bass Harbor,6/24/2013,2013,Barnacle,B4,Dogwhelk (Nucella lapillus),NUCLAP,0,0,0,No
Acadia NP,ME,Bass Harbor,6/24/2013,2013,Barnacle,B4,Limpet (Tectura testudinalis),TECTES,0,0,0,No
Acadia NP,ME,Bass Harbor,6/24/2013,2013,Barnacle,B5,Common periwinkle (Littorina littorea),LITLIT,0,0,0,No
Acadia NP,ME,Bass Harbor,6/24/2013,2013,Barnacle,B5,Smooth periwinkle (Littorina obtusata),LITOBT,0,0,0,No
Acadia NP,ME,Bass Harbor,6/24/2013,2013,Barnacle,B5,Rough periwinkle (Littorina saxatilis),LITSAX,0,0,0,No
Acadia NP,ME,Bass Harbor,6/24/2013,2013,Barnacle,B5,Dogwhelk (Nucella lapillus),NUCLAP,0,0,0,No
Acadia NP,ME,Bass Harbor,6/24/2013,2013,Barnacle,B5,Limpet (Tectura testudinalis),TECTES,0,0,0,No
Acadia NP,ME,Bass Harbor,6/24/2013,2013,Fucus,F1,Common periwinkle (Littorina littorea),LITLIT,2,18,20,No
Acadia NP,ME,Bass Harbor,6/24/2013,2013,Fucus,F1,Smooth periwinkle (Littorina obtusata),LITOBT,0,31,31,No
Acadia NP,ME,Bass Harbor,6/24/2013,2013,Fucus,F1,Rough periwinkle (Littorina saxatilis),LITSAX,0,0,0,No
Acadia NP,ME,Bass Harbor,6/24/2013,2013,Fucus,F1,Dogwhelk (Nucella lapillus),NUCLAP,0,5,5,No
Acadia NP,ME,Bass Harbor,6/24/2013,2013,Fucus,F1,Limpet (Tectura testudinalis),TECTES,0,4,4,No
Acadia NP,ME,Bass Harbor,6/24/2013,2013,Fucus,F2,Common periwinkle (Littorina littorea),LITLIT,0,0,0,Yes
Acadia NP,ME,Bass Harbor,6/24/2013,2013,Fucus,F2,Smooth periwinkle (Littorina obtusata),LITOBT,0,16,16,Yes
